"corpus","sequence_length","n_sequences","ngram","biphone","method","freq"
"CMU",2,1000,"biphone","AA-AA","type",0
"CMU",2,1000,"biphone","AE-AA","type",0
"CMU",2,1000,"biphone","AH-AA","type",0
"CMU",2,1000,"biphone","AO-AA","type",0
"CMU",2,1000,"biphone","AW-AA","type",0
"CMU",2,1000,"biphone","AY-AA","type",0
"CMU",2,1000,"biphone","EH-AA","type",0
"CMU",2,1000,"biphone","ER-AA","type",0
"CMU",2,1000,"biphone","EY-AA","type",0
"CMU",2,1000,"biphone","IH-AA","type",0
"CMU",2,1000,"biphone","IY-AA","type",0
"CMU",2,1000,"biphone","OW-AA","type",0
"CMU",2,1000,"biphone","OY-AA","type",0
"CMU",2,1000,"biphone","UH-AA","type",0
"CMU",2,1000,"biphone","UW-AA","type",0
"CMU",2,1000,"biphone","AX-AA","type",0
"CMU",2,1000,"biphone","AXR-AA","type",0
"CMU",2,1000,"biphone","IX-AA","type",0
"CMU",2,1000,"biphone","UX-AA","type",0
"CMU",2,1000,"biphone","B-AA","type",2
"CMU",2,1000,"biphone","CH-AA","type",1
"CMU",2,1000,"biphone","D-AA","type",1
"CMU",2,1000,"biphone","DH-AA","type",0
"CMU",2,1000,"biphone","F-AA","type",0
"CMU",2,1000,"biphone","G-AA","type",1
"CMU",2,1000,"biphone","HH-AA","type",2
"CMU",2,1000,"biphone","JH-AA","type",1
"CMU",2,1000,"biphone","K-AA","type",3
"CMU",2,1000,"biphone","L-AA","type",2
"CMU",2,1000,"biphone","M-AA","type",2
"CMU",2,1000,"biphone","N-AA","type",3
"CMU",2,1000,"biphone","NG-AA","type",0
"CMU",2,1000,"biphone","P-AA","type",1
"CMU",2,1000,"biphone","R-AA","type",4
"CMU",2,1000,"biphone","S-AA","type",1
"CMU",2,1000,"biphone","SH-AA","type",3
"CMU",2,1000,"biphone","T-AA","type",1
"CMU",2,1000,"biphone","TH-AA","type",0
"CMU",2,1000,"biphone","V-AA","type",0
"CMU",2,1000,"biphone","W-AA","type",3
"CMU",2,1000,"biphone","Y-AA","type",3
"CMU",2,1000,"biphone","Z-AA","type",0
"CMU",2,1000,"biphone","ZH-AA","type",1
"CMU",2,1000,"biphone","Q-AA","type",0
"CMU",2,1000,"biphone","AA-AE","type",0
"CMU",2,1000,"biphone","AE-AE","type",0
"CMU",2,1000,"biphone","AH-AE","type",0
"CMU",2,1000,"biphone","AO-AE","type",0
"CMU",2,1000,"biphone","AW-AE","type",0
"CMU",2,1000,"biphone","AY-AE","type",0
"CMU",2,1000,"biphone","EH-AE","type",0
"CMU",2,1000,"biphone","ER-AE","type",0
"CMU",2,1000,"biphone","EY-AE","type",0
"CMU",2,1000,"biphone","IH-AE","type",0
"CMU",2,1000,"biphone","IY-AE","type",0
"CMU",2,1000,"biphone","OW-AE","type",0
"CMU",2,1000,"biphone","OY-AE","type",0
"CMU",2,1000,"biphone","UH-AE","type",0
"CMU",2,1000,"biphone","UW-AE","type",0
"CMU",2,1000,"biphone","AX-AE","type",0
"CMU",2,1000,"biphone","AXR-AE","type",0
"CMU",2,1000,"biphone","IX-AE","type",0
"CMU",2,1000,"biphone","UX-AE","type",0
"CMU",2,1000,"biphone","B-AE","type",0
"CMU",2,1000,"biphone","CH-AE","type",0
"CMU",2,1000,"biphone","D-AE","type",0
"CMU",2,1000,"biphone","DH-AE","type",0
"CMU",2,1000,"biphone","F-AE","type",0
"CMU",2,1000,"biphone","G-AE","type",0
"CMU",2,1000,"biphone","HH-AE","type",0
"CMU",2,1000,"biphone","JH-AE","type",0
"CMU",2,1000,"biphone","K-AE","type",0
"CMU",2,1000,"biphone","L-AE","type",0
"CMU",2,1000,"biphone","M-AE","type",0
"CMU",2,1000,"biphone","N-AE","type",0
"CMU",2,1000,"biphone","NG-AE","type",0
"CMU",2,1000,"biphone","P-AE","type",1
"CMU",2,1000,"biphone","R-AE","type",0
"CMU",2,1000,"biphone","S-AE","type",0
"CMU",2,1000,"biphone","SH-AE","type",0
"CMU",2,1000,"biphone","T-AE","type",0
"CMU",2,1000,"biphone","TH-AE","type",0
"CMU",2,1000,"biphone","V-AE","type",0
"CMU",2,1000,"biphone","W-AE","type",0
"CMU",2,1000,"biphone","Y-AE","type",1
"CMU",2,1000,"biphone","Z-AE","type",0
"CMU",2,1000,"biphone","ZH-AE","type",0
"CMU",2,1000,"biphone","Q-AE","type",0
"CMU",2,1000,"biphone","AA-AH","type",0
"CMU",2,1000,"biphone","AE-AH","type",0
"CMU",2,1000,"biphone","AH-AH","type",0
"CMU",2,1000,"biphone","AO-AH","type",0
"CMU",2,1000,"biphone","AW-AH","type",0
"CMU",2,1000,"biphone","AY-AH","type",1
"CMU",2,1000,"biphone","EH-AH","type",0
"CMU",2,1000,"biphone","ER-AH","type",0
"CMU",2,1000,"biphone","EY-AH","type",0
"CMU",2,1000,"biphone","IH-AH","type",0
"CMU",2,1000,"biphone","IY-AH","type",1
"CMU",2,1000,"biphone","OW-AH","type",0
"CMU",2,1000,"biphone","OY-AH","type",0
"CMU",2,1000,"biphone","UH-AH","type",0
"CMU",2,1000,"biphone","UW-AH","type",0
"CMU",2,1000,"biphone","AX-AH","type",0
"CMU",2,1000,"biphone","AXR-AH","type",0
"CMU",2,1000,"biphone","IX-AH","type",0
"CMU",2,1000,"biphone","UX-AH","type",0
"CMU",2,1000,"biphone","B-AH","type",0
"CMU",2,1000,"biphone","CH-AH","type",0
"CMU",2,1000,"biphone","D-AH","type",4
"CMU",2,1000,"biphone","DH-AH","type",2
"CMU",2,1000,"biphone","F-AH","type",0
"CMU",2,1000,"biphone","G-AH","type",0
"CMU",2,1000,"biphone","HH-AH","type",1
"CMU",2,1000,"biphone","JH-AH","type",0
"CMU",2,1000,"biphone","K-AH","type",1
"CMU",2,1000,"biphone","L-AH","type",1
"CMU",2,1000,"biphone","M-AH","type",0
"CMU",2,1000,"biphone","N-AH","type",0
"CMU",2,1000,"biphone","NG-AH","type",0
"CMU",2,1000,"biphone","P-AH","type",0
"CMU",2,1000,"biphone","R-AH","type",2
"CMU",2,1000,"biphone","S-AH","type",1
"CMU",2,1000,"biphone","SH-AH","type",0
"CMU",2,1000,"biphone","T-AH","type",1
"CMU",2,1000,"biphone","TH-AH","type",0
"CMU",2,1000,"biphone","V-AH","type",0
"CMU",2,1000,"biphone","W-AH","type",0
"CMU",2,1000,"biphone","Y-AH","type",0
"CMU",2,1000,"biphone","Z-AH","type",0
"CMU",2,1000,"biphone","ZH-AH","type",0
"CMU",2,1000,"biphone","Q-AH","type",0
"CMU",2,1000,"biphone","AA-AO","type",0
"CMU",2,1000,"biphone","AE-AO","type",0
"CMU",2,1000,"biphone","AH-AO","type",0
"CMU",2,1000,"biphone","AO-AO","type",0
"CMU",2,1000,"biphone","AW-AO","type",0
"CMU",2,1000,"biphone","AY-AO","type",0
"CMU",2,1000,"biphone","EH-AO","type",0
"CMU",2,1000,"biphone","ER-AO","type",0
"CMU",2,1000,"biphone","EY-AO","type",0
"CMU",2,1000,"biphone","IH-AO","type",0
"CMU",2,1000,"biphone","IY-AO","type",0
"CMU",2,1000,"biphone","OW-AO","type",0
"CMU",2,1000,"biphone","OY-AO","type",0
"CMU",2,1000,"biphone","UH-AO","type",0
"CMU",2,1000,"biphone","UW-AO","type",0
"CMU",2,1000,"biphone","AX-AO","type",0
"CMU",2,1000,"biphone","AXR-AO","type",0
"CMU",2,1000,"biphone","IX-AO","type",0
"CMU",2,1000,"biphone","UX-AO","type",0
"CMU",2,1000,"biphone","B-AO","type",1
"CMU",2,1000,"biphone","CH-AO","type",1
"CMU",2,1000,"biphone","D-AO","type",2
"CMU",2,1000,"biphone","DH-AO","type",0
"CMU",2,1000,"biphone","F-AO","type",1
"CMU",2,1000,"biphone","G-AO","type",2
"CMU",2,1000,"biphone","HH-AO","type",3
"CMU",2,1000,"biphone","JH-AO","type",1
