"corpus","sequence_length","n_sequences","ngram","phoneme","method","pos1","pos2","pos3","pos4","pos5","pos6","pos7","pos8","pos9","pos10","pos11","pos12"
"CMU",1,49,"phoneme","AA","type",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",1,49,"phoneme","AE","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",1,49,"phoneme","AH","type",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",1,49,"phoneme","AO","type",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",1,49,"phoneme","AW","type",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",1,49,"phoneme","AY","type",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",1,49,"phoneme","EH","type",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",1,49,"phoneme","ER","type",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",1,49,"phoneme","EY","type",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",1,49,"phoneme","IH","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",1,49,"phoneme","IY","type",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",1,49,"phoneme","OW","type",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",1,49,"phoneme","OY","type",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",1,49,"phoneme","UH","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",1,49,"phoneme","UW","type",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",1,49,"phoneme","AX","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",1,49,"phoneme","AXR","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",1,49,"phoneme","IX","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",1,49,"phoneme","UX","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",1,49,"phoneme","B","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",1,49,"phoneme","CH","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",1,49,"phoneme","D","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",1,49,"phoneme","DH","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",1,49,"phoneme","F","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",1,49,"phoneme","G","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",1,49,"phoneme","HH","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",1,49,"phoneme","JH","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",1,49,"phoneme","K","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",1,49,"phoneme","L","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",1,49,"phoneme","M","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",1,49,"phoneme","N","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",1,49,"phoneme","NG","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",1,49,"phoneme","P","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",1,49,"phoneme","R","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",1,49,"phoneme","S","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",1,49,"phoneme","SH","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",1,49,"phoneme","T","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",1,49,"phoneme","TH","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",1,49,"phoneme","V","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",1,49,"phoneme","W","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",1,49,"phoneme","Y","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",1,49,"phoneme","Z","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",1,49,"phoneme","ZH","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",1,49,"phoneme","Q","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"phoneme","AA","type",21,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"phoneme","AE","type",23,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"phoneme","AH","type",22,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"phoneme","AO","type",25,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"phoneme","AW","type",11,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"phoneme","AY","type",34,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"phoneme","EH","type",47,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"phoneme","ER","type",23,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"phoneme","EY","type",33,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"phoneme","IH","type",26,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"phoneme","IY","type",20,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"phoneme","OW","type",24,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"phoneme","OY","type",2,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"phoneme","UH","type",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"phoneme","UW","type",8,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"phoneme","AX","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"phoneme","AXR","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"phoneme","IX","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"phoneme","UX","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"phoneme","B","type",37,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"phoneme","CH","type",19,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
