"corpus","sequence_length","n_sequences","ngram","phoneme","method","freq"
"CMU",1,49,"phoneme","AA","type",4
"CMU",1,49,"phoneme","AE","type",0
"CMU",1,49,"phoneme","AH","type",3
"CMU",1,49,"phoneme","AO","type",2
"CMU",1,49,"phoneme","AW","type",2
"CMU",1,49,"phoneme","AY","type",6
"CMU",1,49,"phoneme","EH","type",1
"CMU",1,49,"phoneme","ER","type",6
"CMU",1,49,"phoneme","EY","type",4
"CMU",1,49,"phoneme","IH","type",0
"CMU",1,49,"phoneme","IY","type",3
"CMU",1,49,"phoneme","OW","type",11
"CMU",1,49,"phoneme","OY","type",4
"CMU",1,49,"phoneme","UH","type",0
"CMU",1,49,"phoneme","UW","type",3
"CMU",1,49,"phoneme","AX","type",0
"CMU",1,49,"phoneme","AXR","type",0
"CMU",1,49,"phoneme","IX","type",0
"CMU",1,49,"phoneme","UX","type",0
"CMU",1,49,"phoneme","B","type",0
"CMU",1,49,"phoneme","CH","type",0
"CMU",1,49,"phoneme","D","type",0
"CMU",1,49,"phoneme","DH","type",0
"CMU",1,49,"phoneme","F","type",0
"CMU",1,49,"phoneme","G","type",0
"CMU",1,49,"phoneme","HH","type",0
"CMU",1,49,"phoneme","JH","type",0
"CMU",1,49,"phoneme","K","type",0
"CMU",1,49,"phoneme","L","type",0
"CMU",1,49,"phoneme","M","type",0
"CMU",1,49,"phoneme","N","type",0
"CMU",1,49,"phoneme","NG","type",0
"CMU",1,49,"phoneme","P","type",0
"CMU",1,49,"phoneme","R","type",0
"CMU",1,49,"phoneme","S","type",0
"CMU",1,49,"phoneme","SH","type",0
"CMU",1,49,"phoneme","T","type",0
"CMU",1,49,"phoneme","TH","type",0
"CMU",1,49,"phoneme","V","type",0
"CMU",1,49,"phoneme","W","type",0
"CMU",1,49,"phoneme","Y","type",0
"CMU",1,49,"phoneme","Z","type",0
"CMU",1,49,"phoneme","ZH","type",0
"CMU",1,49,"phoneme","Q","type",0
"CMU",2,1000,"phoneme","AA","type",56
"CMU",2,1000,"phoneme","AE","type",25
"CMU",2,1000,"phoneme","AH","type",37
"CMU",2,1000,"phoneme","AO","type",51
"CMU",2,1000,"phoneme","AW","type",66
"CMU",2,1000,"phoneme","AY","type",109
"CMU",2,1000,"phoneme","EH","type",54
"CMU",2,1000,"phoneme","ER","type",81
"CMU",2,1000,"phoneme","EY","type",123
"CMU",2,1000,"phoneme","IH","type",30
"CMU",2,1000,"phoneme","IY","type",125
"CMU",2,1000,"phoneme","OW","type",112
"CMU",2,1000,"phoneme","OY","type",33
"CMU",2,1000,"phoneme","UH","type",1
"CMU",2,1000,"phoneme","UW","type",118
"CMU",2,1000,"phoneme","AX","type",0
"CMU",2,1000,"phoneme","AXR","type",0
"CMU",2,1000,"phoneme","IX","type",0
"CMU",2,1000,"phoneme","UX","type",0
"CMU",2,1000,"phoneme","B","type",47
"CMU",2,1000,"phoneme","CH","type",27
"CMU",2,1000,"phoneme","D","type",66
"CMU",2,1000,"phoneme","DH","type",13
"CMU",2,1000,"phoneme","F","type",35
"CMU",2,1000,"phoneme","G","type",30
"CMU",2,1000,"phoneme","HH","type",37
"CMU",2,1000,"phoneme","JH","type",33
"CMU",2,1000,"phoneme","K","type",71
"CMU",2,1000,"phoneme","L","type",73
"CMU",2,1000,"phoneme","M","type",47
"CMU",2,1000,"phoneme","N","type",59
