"corpus","word_length","n_words","ngram","bigram","method","pos1","pos2","pos3","pos4","pos5","pos6","pos7","pos8","pos9"
"subtlex_uk",3,5268,"bigram","AA","token",4474.99999999997,11969,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","AB","token",4115.00000000001,9544.99999999997,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","AC","token",21390.9999999999,4724.00000000003,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","AD","token",22128.0000000002,631212.000000004,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","AE","token",192,3549,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","AF","token",443.999999999997,3259.00000000003,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","AG","token",97468.0000000006,22358.0000000001,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","AH","token",4558.00000000002,17208.9999999999,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","AI","token",46917,3151.00000000001,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","AJ","token",61.0000000000005,780.999999999995,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","AK","token",643.999999999996,5881.99999999997,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","AL","token",857587.000000007,6574.99999999999,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","AM","token",7580.00000000004,30910,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","AN","token",4470005.00000004,953165.000000006,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","AO","token",167,1101,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","AP","token",1831,31455.9999999999,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","AQ","token",19.0000000000001,27,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","AR","token",1374251,204267.000000001,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","AS","token",57546.0000000007,2170320,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","AT","token",3882.00000000001,109920.000000001,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","AU","token",613.000000000001,5004.00000000002,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","AV","token",760.000000000005,1864,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","AW","token",2878,82315.0000000002,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","AX","token",1561.00000000001,40871.0000000002,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","AY","token",11818.9999999999,927174.999999998,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","AZ","token",48.0000000000002,2564.00000000002,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","BA","token",124919,444,NA,NA,NA,NA,NA,NA,NA
