"corpus","word_length","n_words","ngram","bigram","method","freq"
"subtlex_uk",3,5268,"bigram","AA","type",34
"subtlex_uk",3,5268,"bigram","AB","type",38
"subtlex_uk",3,5268,"bigram","AC","type",33
"subtlex_uk",3,5268,"bigram","AD","type",40
"subtlex_uk",3,5268,"bigram","AE","type",32
"subtlex_uk",3,5268,"bigram","AF","type",26
"subtlex_uk",3,5268,"bigram","AG","type",34
"subtlex_uk",3,5268,"bigram","AH","type",32
"subtlex_uk",3,5268,"bigram","AI","type",37
"subtlex_uk",3,5268,"bigram","AJ","type",15
"subtlex_uk",3,5268,"bigram","AK","type",27
"subtlex_uk",3,5268,"bigram","AL","type",44
"subtlex_uk",3,5268,"bigram","AM","type",40
"subtlex_uk",3,5268,"bigram","AN","type",43
"subtlex_uk",3,5268,"bigram","AO","type",29
"subtlex_uk",3,5268,"bigram","AP","type",36
"subtlex_uk",3,5268,"bigram","AQ","type",3
"subtlex_uk",3,5268,"bigram","AR","type",46
"subtlex_uk",3,5268,"bigram","AS","type",41
"subtlex_uk",3,5268,"bigram","AT","type",39
"subtlex_uk",3,5268,"bigram","AU","type",31
"subtlex_uk",3,5268,"bigram","AV","type",29
"subtlex_uk",3,5268,"bigram","AW","type",31
"subtlex_uk",3,5268,"bigram","AX","type",18
"subtlex_uk",3,5268,"bigram","AY","type",28
"subtlex_uk",3,5268,"bigram","AZ","type",25
"subtlex_uk",3,5268,"bigram","BA","type",40
"subtlex_uk",3,5268,"bigram","BB","type",13
"subtlex_uk",3,5268,"bigram","BC","type",23
"subtlex_uk",3,5268,"bigram","BD","type",13
"subtlex_uk",3,5268,"bigram","BE","type",33
"subtlex_uk",3,5268,"bigram","BF","type",7
"subtlex_uk",3,5268,"bigram","BG","type",11
"subtlex_uk",3,5268,"bigram","BH","type",10
"subtlex_uk",3,5268,"bigram","BI","type",30
"subtlex_uk",3,5268,"bigram","BJ","type",3
"subtlex_uk",3,5268,"bigram","BK","type",3
"subtlex_uk",3,5268,"bigram","BL","type",20
"subtlex_uk",3,5268,"bigram","BM","type",18
"subtlex_uk",3,5268,"bigram","BN","type",9
"subtlex_uk",3,5268,"bigram","BO","type",36
"subtlex_uk",3,5268,"bigram","BP","type",12
"subtlex_uk",3,5268,"bigram","BQ","type",1
"subtlex_uk",3,5268,"bigram","BR","type",21
"subtlex_uk",3,5268,"bigram","BS","type",32
"subtlex_uk",3,5268,"bigram","BT","type",18
"subtlex_uk",3,5268,"bigram","BU","type",22
"subtlex_uk",3,5268,"bigram","BV","type",5
"subtlex_uk",3,5268,"bigram","BW","type",5
"subtlex_uk",3,5268,"bigram","BX","type",0
"subtlex_uk",3,5268,"bigram","BY","type",11
"subtlex_uk",3,5268,"bigram","BZ","type",3
"subtlex_uk",3,5268,"bigram","CA","type",37
"subtlex_uk",3,5268,"bigram","CB","type",22
"subtlex_uk",3,5268,"bigram","CC","type",28
"subtlex_uk",3,5268,"bigram","CD","type",18
"subtlex_uk",3,5268,"bigram","CE","type",27
"subtlex_uk",3,5268,"bigram","CF","type",7
"subtlex_uk",3,5268,"bigram","CG","type",10
"subtlex_uk",3,5268,"bigram","CH","type",34
"subtlex_uk",3,5268,"bigram","CI","type",25
"subtlex_uk",3,5268,"bigram","CJ","type",4
"subtlex_uk",3,5268,"bigram","CK","type",9
"subtlex_uk",3,5268,"bigram","CL","type",14
"subtlex_uk",3,5268,"bigram","CM","type",19
"subtlex_uk",3,5268,"bigram","CN","type",11
"subtlex_uk",3,5268,"bigram","CO","type",34
"subtlex_uk",3,5268,"bigram","CP","type",24
"subtlex_uk",3,5268,"bigram","CQ","type",2
"subtlex_uk",3,5268,"bigram","CR","type",25
"subtlex_uk",3,5268,"bigram","CS","type",31
"subtlex_uk",3,5268,"bigram","CT","type",22
"subtlex_uk",3,5268,"bigram","CU","type",22
"subtlex_uk",3,5268,"bigram","CV","type",8
"subtlex_uk",3,5268,"bigram","CW","type",7
"subtlex_uk",3,5268,"bigram","CX","type",1
"subtlex_uk",3,5268,"bigram","CY","type",9
"subtlex_uk",3,5268,"bigram","CZ","type",0
"subtlex_uk",3,5268,"bigram","DA","type",39
"subtlex_uk",3,5268,"bigram","DB","type",16
"subtlex_uk",3,5268,"bigram","DC","type",23
"subtlex_uk",3,5268,"bigram","DD","type",18
"subtlex_uk",3,5268,"bigram","DE","type",30
"subtlex_uk",3,5268,"bigram","DF","type",18
"subtlex_uk",3,5268,"bigram","DG","type",7
"subtlex_uk",3,5268,"bigram","DH","type",10
"subtlex_uk",3,5268,"bigram","DI","type",31
"subtlex_uk",3,5268,"bigram","DJ","type",2
"subtlex_uk",3,5268,"bigram","DK","type",2
"subtlex_uk",3,5268,"bigram","DL","type",15
"subtlex_uk",3,5268,"bigram","DM","type",13
"subtlex_uk",3,5268,"bigram","DN","type",11
"subtlex_uk",3,5268,"bigram","DO","type",34
"subtlex_uk",3,5268,"bigram","DP","type",23
"subtlex_uk",3,5268,"bigram","DQ","type",1
"subtlex_uk",3,5268,"bigram","DR","type",22
"subtlex_uk",3,5268,"bigram","DS","type",33
"subtlex_uk",3,5268,"bigram","DT","type",10
"subtlex_uk",3,5268,"bigram","DU","type",29
"subtlex_uk",3,5268,"bigram","DV","type",7
"subtlex_uk",3,5268,"bigram","DW","type",7
"subtlex_uk",3,5268,"bigram","DX","type",3
"subtlex_uk",3,5268,"bigram","DY","type",10
"subtlex_uk",3,5268,"bigram","DZ","type",3
"subtlex_uk",3,5268,"bigram","EA","type",31
"subtlex_uk",3,5268,"bigram","EB","type",33
"subtlex_uk",3,5268,"bigram","EC","type",30
"subtlex_uk",3,5268,"bigram","ED","type",38
"subtlex_uk",3,5268,"bigram","EE","type",43
"subtlex_uk",3,5268,"bigram","EF","type",27
"subtlex_uk",3,5268,"bigram","EG","type",25
"subtlex_uk",3,5268,"bigram","EH","type",22
"subtlex_uk",3,5268,"bigram","EI","type",24
"subtlex_uk",3,5268,"bigram","EJ","type",4
"subtlex_uk",3,5268,"bigram","EK","type",13
"subtlex_uk",3,5268,"bigram","EL","type",37
"subtlex_uk",3,5268,"bigram","EM","type",37
