"corpus","word_length","n_words","ngram","letter","method","pos1","pos2","pos3","pos4","pos5","pos6","pos7","pos8","pos9","pos10"
"subtlex_uk",3,5268,"letter","A","token",6995238.00000005,5281182.00000001,108628,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"letter","B","token",2040308.00000001,41403.0000000002,152122,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"letter","C","token",977790.000000005,50277.9999999997,53422.0000000002,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"letter","D","token",868738.000000003,37382.0000000002,5870152.00000005,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"letter","E","token",241395,3071255.00000001,12817445.0000001,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"letter","F","token",2023542.99999999,248108.000000002,255803.000000002,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"letter","G","token",1350887.00000001,115785.000000001,307837,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"letter","H","token",2945202.00000001,10615897.0000001,104323,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"letter","I","token",184335.999999999,2296366.00000001,30254,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"letter","J","token",142173,660.999999999998,1301,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"letter","K","token",65246.0000000003,15377.9999999999,69129.0000000006,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"letter","L","token",653739.000000003,1017584.00000001,900452.000000007,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"letter","M","token",506764.000000002,44581.0000000003,549037.000000002,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"letter","N","token",3351784,5349761.00000005,1520850.00000001,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"letter","O","token",2260992.00000001,9755675.00000005,1026032,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"letter","P","token",399911,29386,234080.000000001,NA,NA,NA,NA,NA,NA,NA
