"corpus","word_length","n_words","ngram","letter","method","freq"
"subtlex_uk",3,5268,"letter","A","token",12385048.0000001
"subtlex_uk",3,5268,"letter","B","token",2233833.00000001
"subtlex_uk",3,5268,"letter","C","token",1081490
"subtlex_uk",3,5268,"letter","D","token",6776272.00000005
"subtlex_uk",3,5268,"letter","E","token",16130095.0000001
"subtlex_uk",3,5268,"letter","F","token",2527454
"subtlex_uk",3,5268,"letter","G","token",1774509.00000001
"subtlex_uk",3,5268,"letter","H","token",13665422.0000001
"subtlex_uk",3,5268,"letter","I","token",2510956.00000001
"subtlex_uk",3,5268,"letter","J","token",144135
"subtlex_uk",3,5268,"letter","K","token",149753.000000001
"subtlex_uk",3,5268,"letter","L","token",2571775.00000002
"subtlex_uk",3,5268,"letter","M","token",1100382
"subtlex_uk",3,5268,"letter","N","token",10222395.0000001
"subtlex_uk",3,5268,"letter","O","token",13042699.0000001
"subtlex_uk",3,5268,"letter","P","token",663377
"subtlex_uk",3,5268,"letter","Q","token",4179
"subtlex_uk",3,5268,"letter","R","token",4487625
"subtlex_uk",3,5268,"letter","S","token",5119778.00000001
"subtlex_uk",3,5268,"letter","T","token",17429288.0000001
"subtlex_uk",3,5268,"letter","U","token",7065539.00000007
"subtlex_uk",3,5268,"letter","V","token",54415
"subtlex_uk",3,5268,"letter","W","token",4515621.00000001
"subtlex_uk",3,5268,"letter","X","token",171288.000000001
"subtlex_uk",3,5268,"letter","Y","token",6407001.00000005
"subtlex_uk",3,5268,"letter","Z","token",23833
"subtlex_uk",4,11790,"letter","A","token",14035748
"subtlex_uk",4,11790,"letter","B","token",2038432
"subtlex_uk",4,11790,"letter","C","token",2564436
"subtlex_uk",4,11790,"letter","D","token",4183317
"subtlex_uk",4,11790,"letter","E","token",21478979
"subtlex_uk",4,11790,"letter","F","token",2396562
"subtlex_uk",4,11790,"letter","G","token",1800430
"subtlex_uk",4,11790,"letter","H","token",14683342
"subtlex_uk",4,11790,"letter","I","token",8247272.00000003
"subtlex_uk",4,11790,"letter","J","token",972253.000000009
"subtlex_uk",4,11790,"letter","K","token",4035292.00000001
"subtlex_uk",4,11790,"letter","L","token",8321820.00000001
"subtlex_uk",4,11790,"letter","M","token",5535431.00000001
"subtlex_uk",4,11790,"letter","N","token",7107829
"subtlex_uk",4,11790,"letter","O","token",10701866
"subtlex_uk",4,11790,"letter","P","token",1601442
"subtlex_uk",4,11790,"letter","Q","token",28771.9999999999
"subtlex_uk",4,11790,"letter","R","token",6681597.00000001
"subtlex_uk",4,11790,"letter","S","token",7874642.00000003
