"corpus","word_length","n_words","ngram","letter","method","pos1","pos2","pos3","pos4","pos5","pos6","pos7","pos8","pos9","pos10"
"subtlex_uk",3,5268,"letter","A","type",404,494,340,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"letter","B","type",266,158,203,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"letter","C","type",270,207,244,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"letter","D","type",259,163,222,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"letter","E","type",247,459,277,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"letter","F","type",179,123,163,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"letter","G","type",226,103,190,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"letter","H","type",198,162,187,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"letter","I","type",230,416,239,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"letter","J","type",135,20,48,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"letter","K","type",147,52,132,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"letter","L","type",204,203,200,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"letter","M","type",279,177,232,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"letter","N","type",229,162,198,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"letter","O","type",210,457,240,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"letter","P","type",274,186,230,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"letter","Q","type",39,11,13,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"letter","R","type",221,281,248,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"letter","S","type",304,254,377,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"letter","T","type",269,192,285,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"letter","U","type",159,361,159,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"letter","V","type",125,89,103,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"letter","W","type",174,98,91,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"letter","X","type",36,34,87,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"letter","Y","type",103,103,147,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"letter","Z","type",81,23,123,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",4,11790,"letter","A","type",814,2040,1004,995,NA,NA,NA,NA,NA,NA
"subtlex_uk",4,11790,"letter","B","type",732,122,357,201,NA,NA,NA,NA,NA,NA
"subtlex_uk",4,11790,"letter","C","type",584,166,431,148,NA,NA,NA,NA,NA,NA
"subtlex_uk",4,11790,"letter","D","type",632,127,412,567,NA,NA,NA,NA,NA,NA
"subtlex_uk",4,11790,"letter","E","type",465,1488,1128,1064,NA,NA,NA,NA,NA,NA
"subtlex_uk",4,11790,"letter","F","type",466,101,244,253,NA,NA,NA,NA,NA,NA
"subtlex_uk",4,11790,"letter","G","type",487,95,339,330,NA,NA,NA,NA,NA,NA
"subtlex_uk",4,11790,"letter","H","type",517,430,209,467,NA,NA,NA,NA,NA,NA
"subtlex_uk",4,11790,"letter","I","type",330,1293,808,606,NA,NA,NA,NA,NA,NA
"subtlex_uk",4,11790,"letter","J","type",281,15,60,23,NA,NA,NA,NA,NA,NA
"subtlex_uk",4,11790,"letter","K","type",404,94,232,373,NA,NA,NA,NA,NA,NA
"subtlex_uk",4,11790,"letter","L","type",524,495,658,487,NA,NA,NA,NA,NA,NA
"subtlex_uk",4,11790,"letter","M","type",586,188,422,378,NA,NA,NA,NA,NA,NA
"subtlex_uk",4,11790,"letter","N","type",450,313,876,674,NA,NA,NA,NA,NA,NA
