"corpus","word_length","n_words","ngram","trigram","method","pos1","pos2","pos3","pos4","pos5","pos6","pos7","pos8"
"subtlex_uk",3,5268,"trigram","AAA","token",358,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AAB","token",8.99999999999999,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AAC","token",0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AAD","token",4.00000000000001,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AAE","token",0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AAF","token",0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AAG","token",0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AAH","token",3654.99999999997,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AAI","token",0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AAJ","token",0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AAK","token",0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AAL","token",11.0000000000001,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AAM","token",4.99999999999995,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AAN","token",10.0000000000001,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AAO","token",0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AAP","token",4.99999999999995,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AAQ","token",0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AAR","token",38.0000000000001,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AAS","token",13.9999999999999,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AAT","token",12.0000000000001,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AAU","token",300.999999999999,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AAV","token",0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AAW","token",38.9999999999998,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AAX","token",0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AAY","token",13.9999999999999,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AAZ","token",0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ABA","token",93.0000000000002,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ABB","token",10.0000000000001,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ABC","token",299.999999999997,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ABD","token",28.0000000000002,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ABE","token",95.0000000000003,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ABF","token",0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ABG","token",18,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ABH","token",76.9999999999999,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ABI","token",1719,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ABJ","token",0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ABK","token",2.99999999999998,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ABL","token",4.00000000000001,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ABM","token",10.0000000000001,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ABN","token",38.0000000000001,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ABO","token",12.0000000000001,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ABP","token",2.99999999999998,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ABQ","token",0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ABR","token",0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ABS","token",562.000000000004,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ABT","token",10.0000000000001,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ABU","token",1101.00000000001,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ABV","token",8.0000000000001,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ABW","token",0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ABX","token",0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ABY","token",24.0000000000001,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ABZ","token",0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ACA","token",15.0000000000002,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ACB","token",11.0000000000001,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ACC","token",13,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ACD","token",0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ACE","token",1240,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ACF","token",0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ACG","token",0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ACH","token",304.000000000003,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ACI","token",0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ACJ","token",0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ACK","token",80,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ACL","token",8.99999999999999,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ACM","token",1.99999999999998,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ACN","token",13,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ACO","token",2.99999999999998,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ACP","token",2.99999999999998,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ACQ","token",0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ACR","token",4.99999999999995,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ACS","token",36.9999999999999,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ACT","token",19641.9999999999,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ACU","token",11.0000000000001,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ACV","token",0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ACW","token",0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ACX","token",0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ACY","token",2.99999999999998,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ACZ","token",0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ADA","token",257.999999999999,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ADB","token",6.00000000000005,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ADC","token",8.0000000000001,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ADD","token",20234.0000000002,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ADE","token",308.999999999998,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ADF","token",2.99999999999998,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ADG","token",0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ADH","token",0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ADI","token",57.9999999999994,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ADJ","token",1.99999999999998,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ADK","token",0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ADL","token",1.99999999999998,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ADM","token",0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ADN","token",13.9999999999999,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ADO","token",534.000000000001,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ADP","token",0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ADQ","token",0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ADR","token",13,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ADS","token",644.999999999993,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ADT","token",2.99999999999998,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ADU","token",6.00000000000005,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ADV","token",0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ADW","token",0,NA,NA,NA,NA,NA,NA,NA
