"corpus","word_length","n_words","ngram","trigram","method","pos1","pos2","pos3","pos4","pos5","pos6","pos7","pos8"
"subtlex_uk",3,5268,"trigram","AAA","type",1,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AAB","type",1,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AAC","type",0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AAD","type",1,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AAE","type",0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AAF","type",0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AAG","type",0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AAH","type",1,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AAI","type",0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AAJ","type",0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AAK","type",0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AAL","type",1,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AAM","type",1,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AAN","type",1,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AAO","type",0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AAP","type",1,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AAQ","type",0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AAR","type",1,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AAS","type",1,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AAT","type",1,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AAU","type",1,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AAV","type",0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AAW","type",1,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AAX","type",0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AAY","type",1,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AAZ","type",0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ABA","type",1,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ABB","type",1,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ABC","type",1,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ABD","type",1,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ABE","type",1,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ABF","type",0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ABG","type",1,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ABH","type",1,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ABI","type",1,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ABJ","type",0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ABK","type",1,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ABL","type",1,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ABM","type",1,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ABN","type",1,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ABO","type",1,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ABP","type",1,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ABQ","type",0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ABR","type",0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ABS","type",1,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ABT","type",1,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ABU","type",1,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ABV","type",1,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ABW","type",0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ABX","type",0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ABY","type",1,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ABZ","type",0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ACA","type",1,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ACB","type",1,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ACC","type",1,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ACD","type",0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ACE","type",1,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ACF","type",0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ACG","type",0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ACH","type",1,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ACI","type",0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ACJ","type",0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ACK","type",1,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ACL","type",1,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ACM","type",1,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ACN","type",1,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ACO","type",1,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ACP","type",1,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ACQ","type",0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ACR","type",1,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ACS","type",1,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","ACT","type",1,NA,NA,NA,NA,NA,NA,NA
